Word	uniqueID	WordNet ID	Wordnet ID2	Wordnet ID3	Wordnet ID4	WordNet Synonyms	Definition (from WordNet, Google, or Wikipedia)	Bigram	Percent_known	Rank (combining COCA/concreteness)	Concreteness (M)	COCA word freq (online)	COCA word freq	COCA (dispersion)	COCA (rank)	BNC freq	SUBTLEX freq	Dominant Part of Speech	Bottom-up Category (Human Raters)	Top-down Category (WordNet)	Top-down Category (manual selection)	All Bottom-up Categories	Number of word meanings in list	Example image
scaffolding	scaffolding	n04141712	scaffolding%1:06:00::	scaffolding#1	scaffolding.n.01	scaffolding, staging	a system of scaffolds	0	1	8650.5	4.83	1299	793	0.91	14495		12	Noun				construction equipment	1	https://imgur.com/8gLa3Im
scale	scale	n04141975	scale%1:06:02::	scale#7	scale.n.07	scale, weighing_machine	a measuring instrument for weighing; shows amount of mass	0	1	6344.5	4.39	36486	34375	0.88	1225	7621	485	Noun				weight measurement tool	1	https://imgur.com/ECa4Gcg
scallion	scallion	n07722485	scallion%1:13:00::	scallion#2	scallion.n.02	green_onion, spring_onion, scallion	a young onion before the bulb has enlarged; eaten in salads	0	1	12872.5	4.72	299					8	Noun	vegetable	vegetable	food, vegetable	vegetable	1	https://imgur.com/mBvSauF
scallop	scallop	n07797641	scallop%1:13:00::	scallop#2	scallop.n.02	scallop, scollop, escallop	edible muscle of mollusks having fan-shaped shells; served broiled or poached or in salads or cream sauces	0	1	10103.5	4.61	343	1040	0.89	12729	51	9	Noun			animal, food	seafood	1	https://imgur.com/7eGDlZe
scalpel	scalpel	n04142434	scalpel%1:06:00::	scalpel#1	scalpel.n.01	scalpel	a thin straight surgical knife used in dissection and surgery	0	1	8594.5	4.86	871	725	0.84	15702	96	161	Noun		tool	medical equipment, weapon, tool	medical instrument	1	https://imgur.com/5zqZHEM
scanner	scanner	n04143140	scanner%1:06:02::	scanner#2	scanner.n.02	scanner, digital_scanner, image_scanner	an electronic device that generates a digital representation of an image for data input to a computer	0	1	6426	4.79	1859	2137	0.93	8335	375	150	Noun		electronic device	electronic device	office equipment	1	https://imgur.com/2EuX1rA
scarecrow	scarecrow	n04143712	scarecrow%1:06:00::	scarecrow#1	scarecrow.n.01	scarecrow, straw_man, strawman, bird-scarer, scarer	an effigy in the shape of a man to frighten birds away from seeds	0	1	11570.5	4.68	705	512	0.79	19171	53	89	Noun			home decor	garden decoration, outdoor decoration	1	https://imgur.com/GPqw42V
scarf	scarf	n04143897	scarf%1:06:00::	scarf#1	scarf.n.01	scarf	a garment worn around the head or neck or shoulders for warmth or decoration	0	1	3430.5	4.97	3747	3579	0.9	6222	560	239	Noun	clothing accessory	clothing	clothing, clothing accessory	clothing accessory	1	https://imgur.com/LoM1byI
school bus	school_bus	n04146614	school_bus%1:06:00::	school_bus#1	school_bus.n.01	school_bus	a bus used to transport children to or from school	1	1	15307	4.93	1379					0	#N/A	vehicle		vehicle	vehicle, school vehicle	1	https://imgur.com/9J9v7Wo
scissors	scissors	n04148054	scissors%1:06:00::	scissors#1	scissors.n.01	scissors, pair_of_scissors	an edge tool having two crossed pivoting blades	0	1	6145.5	4.85	2359	1876	0.91	9089	442	341	Noun	office supply	tool	office supply, weapon, tool	cutting tool, office supply	1	https://imgur.com/hTGlX6a
scone	scone	n07690892	scone%1:13:00::	scone#1	scone.n.01	scone	small biscuit (rich with cream and eggs) cut into diamonds or sticks and baked in an oven or (especially originally) on a griddle	0	0.96	10839	4.85	169	379	0.87	20832	148	25	Noun	food	food	food	pastry, food	1	https://imgur.com/8zNxZRf
scoop	scoop	n04149083	scoop%1:06:00::	scoop#6	scoop.n.06	scoop	a large ladle	0	1	12304.5	4.15	1847	1612	0.93	9765	322	289	Noun	kitchen tool	container	kitchen tool, tool	kitchen tool, utensil	1	https://imgur.com/kWiIvUQ
scooter	scooter	n04149374	scooter%1:06:00::	scooter#2	scooter.n.02	scooter	child's two-wheeled vehicle operated by foot	0	1	6813	4.96	1411	928	0.89	13490	86	139	Noun	vehicle, toy	container, vehicle	toy, vehicle	vehicle, toy	1	https://imgur.com/WZuu6Yb
scoreboard	scoreboard	n04149813	scoreboard%1:06:00::	scoreboard#1	scoreboard.n.01	scoreboard	a large board for displaying the score of a contest (and some other information)	0	1	8434	4.9	764	656	0.87	16277		31	Noun	sports equipment			sports equipment	1	https://imgur.com/OIS5eBE
scorpion	scorpion	n01770393	scorpion%1:05:00::	scorpion#1	scorpion.n.01	scorpion	arachnid of warm dry regions having a long segmented tail ending in a venomous stinger	0	1	9952	4.84	652	512	0.89	18143	122	136	Noun	animal, insect	animal	animal	insect, animal	1	https://imgur.com/XVqTbdh
scrabble	scrabble	n00502161	scrabble%1:04:00::	Scrabble#1	Scrabble.n.01	Scrabble	a board game in which words are formed from letters in patterns similar to a crossword puzzle; each letter has a value and those values are used to score the game	0	1	12961	4.47	592				102	96	Noun				board game, game	1	https://imgur.com/7m5chom
scrambled egg	scrambled_egg	n07842308	scrambled_eggs%1:13:00::	scrambled_eggs#1	scrambled_eggs.n.01	scrambled_eggs, scrambled_egg	eggs beaten and cooked to a soft firm consistency while stirring	1	1	16187.5	4.84	39					0	#N/A	food	food	food	breakfast food, food	1	https://imgur.com/1n4SE1w
scraper	scraper	n04150980	scraper%1:06:00::	scraper#1	scraper.n.01	scraper	any of various hand tools for scraping	0	0.96	16838.5	4.23	274	302	0.87	22958	51	5	Noun	tool	tool	tool	tool	1	https://imgur.com/5IfeIaL
screen	screen1	n04152829	screen%1:06:06::	screen#1	screen.n.01	screen, silver_screen, projection_screen	a white or silvered surface where pictures can be projected for viewing	0	1	4728	4.6	34566	30758	0.95	1256	4996	1193	Noun	electronic device		electronic device	electronic device	2	https://imgur.com/SSK1q2I
screen	screen2	n04151581	screen%1:06:00::	screen#5	screen.n.05	screen	a protective covering consisting of netting; can be mounted in a frame	0	1	4728	4.6	34566	30758	0.95	1256	4996	1193	Noun				mesh, barrier	2	https://imgur.com/5vxvRis
screw	screw	n04153751	screw%1:06:00::	screw#4	screw.n.04	screw	a fastener with a tapered threaded shank and a slotted head	0	1	5631	4.81	1663	2780	0.9	7247	747	1912	Verb	tool			fastener, tool, hardware	1	https://imgur.com/YrIla4x
screwdriver	screwdriver	n04154565	screwdriver%1:06:00::	screwdriver#1	screwdriver.n.01	screwdriver	a hand tool for driving screws; has a tip that fits into the head of a screw	0	1	7675.5	4.9	891	833	0.9	14242		128	Noun	tool	tool	tool	tool	1	https://imgur.com/pwhGM80
scuba	scuba	n02731629	scuba%1:06:00::	scuba#1	scuba.n.01	aqualung, Aqua-Lung, scuba	a device (trade name Aqua-Lung) that lets divers breathe under water; scuba is an acronym for self-contained underwater breathing apparatus	0	0.96	13483	4.23	1172	865	0.93	13715	107	78	Noun			sports equipment	diving equipment	1	https://imgur.com/g7XeOXH
sea urchin	sea_urchin	n02319095	sea_urchin%1:05:00::	sea_urchin#1	sea_urchin.n.01	sea_urchin	shallow-water echinoderms having soft bodies enclosed in thin spiny globular shells	1	1	10781	4.96	268					0	#N/A		animal	animal	sea animal, sea creature	1	https://imgur.com/xGjxKG4
seafood	seafood	n07776866	seafood%1:13:00::	seafood#1	seafood.n.01	seafood	edible fish (broadly including freshwater fish) or shellfish or roe etc	0	1	5286	4.83	4096	2965	0.91	6917	179	103	Noun	food		food	food	1	https://imgur.com/EaE3zrG
seagull	seagull	n02041246	seagull%1:05:00::	seagull#1	seagull.n.01	gull, seagull, sea_gull	mostly white aquatic bird having long pointed wings and short legs	0	1	8689.5	5	331	460	0.84	19496	68	62	Noun	bird	animal, bird	animal, bird	bird	1	https://imgur.com/6oxJPc1
seahorse	seahorse	n01456756	seahorse%1:05:00::	seahorse#2	seahorse.n.02	seahorse, sea_horse	small fish with horse-like heads bent sharply downward and curled tails; swim in upright position	0	1	12091.5	4.89	128	220	0.62	29449	8	7	Noun		animal	animal	sea animal	1	https://imgur.com/J8mSvQP
seal	seal	n02076196	seal%1:05:00::	seal#8	seal.n.08	seal	any of numerous marine mammals that come on shore to breed; chiefly of cold regions	0	1	5962.5	4.63	5425	6543	0.92	4189	1395	752	Verb	animal	animal	animal	sea animal, animal	1	https://imgur.com/Wh9ffIp
seaplane	seaplane	n04160586	seaplane%1:06:00::	seaplane#1	seaplane.n.01	seaplane, hydroplane	an airplane that can land on or take off from water	0	0.97	15080	4.75	150	125	0.81	32517	29	11	Noun		vehicle	vehicle	aircraft	1	https://imgur.com/tU0LYSp
seatbelt	seatbelt	n04162706	seatbelt%1:06:00::	seatbelt#1	seatbelt.n.01	seat_belt, seatbelt	a safety belt used in a car or plane to hold you in your seat in case of an accident	0	0.97	11372.5	4.79	385					47	Noun		clothing	part of car	car safety device	1	https://imgur.com/LGLaTnq
seaweed	seaweed	n01397497	seaweed%1:05:00::	seaweed#1	seaweed.n.01	seaweed	plant growing in the sea, especially marine algae	0	1	7658	4.89	1136	886	0.92	13632	211	88	Noun	plant		plant, food	plant	1	https://imgur.com/PFyksa0
seed	seed	n13135832	seed%1:20:00::	seed#1	seed.n.01	seed	a small hard fruit	0	1	3948	4.71	12106	19079	0.93	1929	1659	386	Noun	food, plant	fruit		plant, part of plant, food	1	https://imgur.com/tBVUFPv
seesaw	seesaw	n04167759	seesaw%1:06:00::	seesaw#1	seesaw.n.01	seesaw, teeter, teeter-totter, teetertotter, teeterboard, tilting_board, dandle_board	a plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end	0	1	11446.5	4.92	230	246	0.91	24459	18	22	Noun		toy		playground equipment	1	https://imgur.com/BXfIMZ9
seismograph	seismograph	n04168840	seismograph%1:06:00::	seismograph#1	seismograph.n.01	seismograph	a measuring instrument for detecting and measuring the intensity and direction and duration of movements of the ground (as an earthquake)	0	0.96	17825.5	4.54	62	86	0.82	36370		3	Noun				measurement device, scientific equipment	1	https://imgur.com/o09MSbx
sequin	sequin	n04173698	sequin%1:06:00::	sequin#1	sequin.n.01	sequin, spangle, diamante	adornment consisting of a small piece of shiny material used to decorate clothing	0	0.86	15069.5	4.24	101	512	0.79	19091	13	7	Noun		decoration		decoration	1	https://imgur.com/ME5aKBv
sewage	sewage	n14856893	sewage%1:27:00::	sewage#1	sewage.n.01	sewage, sewerage	waste matter carried away in sewers or drains	0	1	8297	4.52	3458	2913	0.84	7325	777	60	Noun				waste	1	https://imgur.com/1N8Sd2c
sewing kit	sewing_kit	n04179824	sewing_kit%1:06:00::	sewing_kit#1	sewing_kit.n.01	sewing_kit	a kit of articles used in sewing	1	1	14084.5	4.97	62					0	#N/A				sewing accessory	1	https://imgur.com/EI773hx
sewing machine	sewing_machine	n04179913	sewing_machine%1:06:00::	sewing_machine#1	sewing_machine.n.01	sewing_machine	a textile machine used as a home appliance for sewing	1	1	8374	5	503					0	#N/A			electronic device	home appliance, sewing accessory	1	https://imgur.com/7ktsRnY
shaker	shaker	n04183329	shaker%1:06:00::	shaker#2	shaker.n.02	shaker	a container in which something can be shaken	0	1	14805.5	4.11	1196	724	0.93	14975	72	81	Noun		container	container	bar accessory	1	https://imgur.com/vRefCYa
shark	shark	n01482330	shark%1:05:00::	shark#1	shark.n.01	shark	any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales	0	1	2921	4.93	4780	6164	0.88	4478	319	764	Noun	animal	animal	animal	fish, animal	1	https://imgur.com/SH6a8UW
shaving cream	shaving_cream	n04186051	shaving_cream%1:06:00::	shaving_cream#1	shaving_cream.n.01	shaving_cream, shaving_soap	toiletry consisting of a preparation of soap and fatty acids that forms a rich lather for softening the beard before shaving	1	1	12409.5	4.77	300					0	#N/A				personal hygiene item	1	https://imgur.com/cmwiawh
shawl	shawl	n04186455	shawl%1:06:00::	shawl#1	shawl.n.01	shawl	cloak consisting of an oblong piece of cloth used to cover the head and shoulders	0	0.93	5772.5	5	1185	1191	0.88	11938	246	70	Noun	clothing	clothing	clothing, clothing accessory	clothing	1	https://imgur.com/UwZPKXb
shears	shears	n04186848	shears%1:06:00::	shears#1	shears.n.01	shears	large scissors with strong blades	0	1	12333	4.61	661				132	48	Noun		tool	tool	garden tool	1	https://imgur.com/zBAQgMh
sheath	sheath	n04187061	sheath%1:06:00::	sheath#1	sheath.n.01	sheath	a protective covering (as for a knife or sword)	0	1	11267.5	4.48	1104	999	0.89	13001	167	25	Noun				knife accessory	1	https://imgur.com/YGvrznT
sheep	sheep	n02411705	sheep%1:05:00::	sheep#1	sheep.n.01	sheep	woolly usually horned ruminant mammal related to the goat	0	1	3173	4.9	8300	6320	0.94	4243	3044	685	Noun	animal	animal	animal	animal, farm animal	1	https://imgur.com/i6bnCrb
sheet	sheet	n04188179	sheet%1:06:00::	sheet#3	sheet.n.03	sheet, bed_sheet	bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs	0	1	1575	4.93	16423	20787	0.94	1762	4223	592	Noun				bedding	1	https://imgur.com/MHctzAa
shelf	shelf	n04190052	shelf%1:06:00::	shelf#1	shelf.n.01	shelf	a support that consists of a horizontal surface for holding objects	0	1	1938.5	4.96	7573	10741	0.94	2965	1421	355	Noun			furniture	storage	1	https://imgur.com/Pu1OouU
shell	shell1	n04190464	shell%1:06:00::	shell#1	shell.n.01	shell	ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun	0	1	3391	4.8	2014	12957	0.94	2576	2241	674	Noun				ammunition	3	https://imgur.com/hNdBUht
shell	shell2	n14758536	shell%1:27:00::	shell#2	shell.n.02	shell	the material that forms the hard outer covering of many animals	0	1	3391	4.8	2014	12957	0.94	2576	2241	674	Noun				animal part, exoskeleton	3	https://imgur.com/4z3curA
shell	shell3	n11683556	shell%1:20:00::	shell#4	shell.n.04	shell	the hard usually fibrous outer layer of some fruits especially nuts	0	1	3391	4.8	2014	12957	0.94	2576	2241	674	Noun				thing found on a beach	3	https://imgur.com/WD9dtGX
shield	shield	n04192698	shield%1:06:01::	shield#2	shield.n.02	shield, buckler	armor carried on the arm to intercept blows	0	1	6827.5	4.66	4597	3370	0.94	6301	1206	418	Noun				armor	1	https://imgur.com/vifIo3b
ship	ship	n04194289	ship%1:06:00::	ship#1	ship.n.01	ship	a vessel that carries passengers or freight	0	1	1925.5	4.87	29942	32588	0.93	1221	4729	5043	Noun		vehicle	vehicle	boat	1	https://imgur.com/vl6mX58
shirt	shirt	n04197391	shirt%1:06:00::	shirt#1	shirt.n.01	shirt	a garment worn on the upper half of the body	0	1	1411	4.94	23081	21486	0.9	1781	2803	2365	Noun	clothing	clothing	clothing	clothing	1	https://imgur.com/7HDFvfc
shoe	shoe	n04199027	shoe%1:06:00::	shoe#1	shoe.n.01	shoe	footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material	0	1	979.5	4.97	8549	26945	0.94	1427	1164	1550	Noun			clothing	footwear	1	https://imgur.com/pwan9iP
shoe polish	shoe_polish	n15039568	shoe_polish%1:27:00::	shoe_polish#1	shoe_polish.n.01	shoe_polish, blacking	a substance used to produce a shiny protective surface on footwear	1	1	13839.5	4.86	129					0	#N/A				shoe care, shoe accessory	1	https://imgur.com/8FZg3hr
shoehorn	shoehorn	n04200537	shoehorn%1:06:00::	shoehorn#1	shoehorn.n.01	shoehorn	a device used for easing the foot into a shoe	0	1	19364	4.57	23				10	13	Noun	tool			footwear accessory, tool	1	https://imgur.com/twEigSh
shoelace	shoelace	n04200637	shoelace%1:06:00::	shoelace#1	shoelace.n.01	shoelace, shoe_lace, shoestring, shoe_string	a lace used for fastening shoes	0	1	9776.5	5	125	328	0.89	21995	22	38	Noun				shoe accessory	1	https://imgur.com/gFEurL2
shopping basket	shopping_basket	n04204238	shopping_basket%1:06:00::	shopping_basket#1	shopping_basket.n.01	shopping_basket	a handbasket used to carry goods while shopping	1	1	14488.5	5	41					0	#N/A	container	container	container	container	1	https://imgur.com/zc1SJ1n
shopping cart	shopping_cart	n04204347	shopping_cart%1:06:00::	shopping_cart#1	shopping_cart.n.01	shopping_cart	a handcart that holds groceries or other goods while shopping	1	1	10296.5	4.86	426					0	#N/A		container, vehicle	container	shopping aid, item carrier	1	https://imgur.com/QAMGqOB
shortbread	shortbread	n07636020	shortbread%1:13:00::	shortbread#1	shortbread.n.01	shortbread, shortbread_cookie	very rich thick butter cookie	0	1	16386	4.56	305	155	0.81	30330	47	10	Noun	food, dessert		food, dessert	cookie, dessert, baked good, food	1	https://imgur.com/5V5Sj5o
shorts	shorts	n04205318	shorts%1:06:00::	shorts#1	shorts.n.01	short_pants, shorts, trunks	trousers that end at or above the knee	0	1	4446	4.82	6646	5148	0.92	4915	848	480	Noun	clothing	clothing	clothing	clothing	1	https://imgur.com/1kMALU5
shoulder	shoulder	n05548840	shoulder%1:08:00::	shoulder#1	shoulder.n.01	shoulder	the part of the body between the neck and the upper arm	0	1	1126	4.93	33809	42843	0.89	987	4788	1336	Noun	body part	body part	body part	body part	1	https://imgur.com/8i0Whwx
shovel	shovel	n04208210	shovel%1:06:00::	shovel#1	shovel.n.01	shovel	a hand tool for lifting loose material; consists of a curved container or scoop and a handle	0	1	4009	4.97	2596	2654	0.92	7367	204	349	Noun	tool	tool	tool	tool, garden tool	1	https://imgur.com/gjhOeON
shower	shower	n04208936	shower%1:06:00::	shower#1	shower.n.01	shower	a plumbing fixture that sprays water over you	0	1	2792	4.89	10333	9624	0.93	3225	1569	2097	Noun				bathroom fixture	1	https://imgur.com/iKSrHG9
shower cap	shower_cap	n04209133	shower_cap%1:06:00::	shower_cap#1	shower_cap.n.01	shower_cap	a tight cap worn to keep hair dry while showering	1	1	14957	4.89	62					0	#N/A		clothing		shower accessory	1	https://imgur.com/vTvcP4J
shower curtain	shower_curtain	n04209239	shower_curtain%1:06:00::	shower_curtain#1	shower_curtain.n.01	shower_curtain	a curtain that keeps water from splashing out of the shower area	1	1	14245.5	4.58	300					0	#N/A				bathroom accessory	1	https://imgur.com/3amyc0s
showerhead	showerhead	n04209383	showerhead%1:06:00::	showerhead#1	showerhead.n.01	showerhead	a perforated nozzle that showers water on a bather	0	1	13025	4.93	115	131	0.84	31720		9	Noun				plumbing accessory, bathroom fixture	1	https://imgur.com/z3QzFTx
shredder	shredder	n04210120	shredder%1:06:00::	shredder#1	shredder.n.01	shredder	a device that shreds documents (usually in order to prevent the wrong people from reading them)	0	1	14164.5	4.59	301	299	0.88	22924	24	17	Noun			electronic device	office equipment	1	https://imgur.com/cBrgbtA
shrimp	shrimp	n07794159	shrimp%1:13:00::	shrimp#2	shrimp.n.02	prawn, shrimp	any of various edible decapod crustaceans	0	1	4221	4.8	8370	6631	0.92	4177	228	444	Noun			animal, food	seafood	1	https://imgur.com/LnNDPYz
shuffleboard	shuffleboard	n00467536	shuffleboard%1:04:00::	shuffleboard#1	shuffleboard.n.01	shuffleboard, shovelboard	a game in which players use long sticks to shove wooden disks onto the scoring area marked on a smooth surface	0	0.96	15857	4.74	125	89	0.87	35343		20	Noun				game	1	https://imgur.com/Fn5paKL
shutter	shutter	n04211356	shutter%1:06:00::	shutter#2	shutter.n.02	shutter	a hinged blind for a window	0	1	10411.5	4.38	1077	1837	0.91	9199	133	74	Noun				window covering, window accessory	1	https://imgur.com/RAZvYpp
sickle	sickle	n04213353	sickle%1:06:00::	sickle#1	sickle.n.01	sickle, reaping_hook, reap_hook	an edge tool for cutting grass or crops; has a curved blade and a short handle	0	1	8815	4.88	768	637	0.9	16247	165	28	Noun		tool	tool	farm tool	1	https://imgur.com/7rkqyNT
sidecar	sidecar	n04214282	sidecar%1:06:00::	sidecar#2	sidecar.n.02	sidecar	conveyance consisting of a small carrier attached to the side of a motorcycle	0	1	15008	4.82	125	91	0.78	36242	77	30	Noun				motorcycle accessory	1	https://imgur.com/qjayqL5
sifter	sifter	n04216860	sifter%1:06:00::	sifter#1	sifter.n.01	sifter	a household sieve (as for flour)	0	0.97	16845	4.64	82	89	0.77	36726	2	5	Noun	kitchen tool		kitchen tool	baking tool, kitchen tool	1	https://imgur.com/KAXJCng
silicone	silicone	n15040493	silicone%1:27:00::	silicone#1	silicone.n.01	silicone, silicone_polymer	any of a large class of siloxanes that are unusually stable over a wide range of temperatures; used in lubricants and adhesives and coatings and synthetic rubber and electrical insulation	0	0.96	12052.5	4.33	1429	1125	0.8	12915		40	Noun				synthetic material	1	https://imgur.com/MhpSBRv
silverware	silverware	n04221424	silverware%1:06:00::	silverware#1	silverware.n.01	silverware	tableware made of silver or silver plate or pewter or stainless steel	0	1	11291.5	4.66	835	601	0.89	16790		109	Noun				utensil, eating utensil	1	https://imgur.com/kAqRAED
sim card	sim_card					sim_card, sim	a smart card inside a mobile phone, carrying an identification number unique to the owner, storing personal data, and preventing operation if removed	1	0.97	17484.5	4.64	63					0	#N/A				cellphone part	1	https://imgur.com/VXRXkAI
sink	sink	n04223580	sink%1:06:00::	sink#1	sink.n.01	sink	plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe	0	1	4757	4.74	7596	7052	0.9	4056	1893	863	Noun				bathroom fixture, plumbing fixture	1	https://imgur.com/chxULw1
siren	siren	n04224395	siren%1:06:00::	siren#3	siren.n.03	siren	an acoustic device producing a loud often wailing sound as a signal or warning	0	1	8790	4.45	1832	3027	0.9	6847	257	334	Noun				alarm	1	https://imgur.com/XVAvNpU
skateboard	skateboard	n04225987	skateboard%1:06:00::	skateboard#1	skateboard.n.01	skateboard	a board with wheels that is ridden in a standing or crouching position and propelled by foot	0	1	9557	4.86	555	539	0.89	17727	63	85	Noun	sports equipment	container, vehicle	toy, vehicle, sports equipment	sports equipment	1	https://imgur.com/DHf1CQk
skeleton	skeleton	n05585383	skeleton%1:08:00::	skeleton#3	skeleton.n.03	skeletal_system, skeleton, frame, systema_skeletale	the hard structure (bones and cartilages) that provides a frame for the body of an animal	0	1	3650	4.97	2892	3154	0.93	6566		261	Noun		body part	body part	human remains	1	https://imgur.com/U56iNZP
skewer	skewer	n04227900	skewer%1:06:00::	skewer#1	skewer.n.01	skewer	a long pin for holding meat in position while it is being roasted	0	1	11357	4.46	584	1031	0.85	13116	53	21	Noun	kitchen tool		kitchen tool	kitchen tool	1	https://imgur.com/vGcNkcq
ski	ski	n04228054	ski%1:06:00::	ski#1	ski.n.01	ski	narrow wood or metal or plastic runners used in pairs for gliding over snow	0	1	5244.5	4.63	11988	11656	0.83	3051	891	413	Noun	sports equipment		sports equipment	sports equipment	1	https://imgur.com/3W54Cd6
ski boots	ski_boots	n04228581	ski_boot%1:06:00::	ski_boot#1	ski_boot.n.01	ski_boot	a stiff boot that is fastened to a ski with a ski binding	1	1	14533	4.78	141					0	#N/A	sports equipment		sports equipment, clothing	sports equipment	1	https://imgur.com/ivfmK9V
ski lift	ski_lift	n04231693	ski_lift%1:06:00::	ski_lift#1	ski_lift.n.01	ski_tow, ski_lift, lift	a powered conveyance that carries skiers up a hill	1	1	13134	5	93					0	#N/A				transportation device	1	https://imgur.com/KOBLwVs
ski pole	ski_pole	n04230603	ski_pole%1:06:00::	ski_pole#1	ski_pole.n.01	ski_pole	a pole with metal points used as an aid in skiing	1	1	15661.5	4.86	49					0	#N/A	sports equipment		sports equipment	ski equipment, sports equipment	1	https://imgur.com/T0voCsB
skin	skin	n05238282	skin%1:08:00::	skin#1	skin.n.01	skin, tegument, cutis	a natural protective body covering and site of the sense of touch	0	1	2701.5	4.79	51833	39893	0.92	1020	7053	2246	Noun	body part	body part	body part	body part	1	https://imgur.com/XCibC0c
skirt	skirt	n04230808	skirt%1:06:00::	skirt#2	skirt.n.02	skirt	a garment hanging from the waist; worn mainly by girls and women	0	1	3758	4.82	7997	8167	0.9	3664	1492	508	Noun	clothing	clothing	clothing	clothing, women's clothing	1	https://imgur.com/LUEjGDU
skull	skull	n05540121	skull%1:08:00::	skull#1	skull.n.01	skull	the bony skeleton of the head of vertebrates	0	1	3997	4.83	7233	6313	0.92	4280	1136	750	Noun	body part	body part	body part	body part	1	https://imgur.com/bXA5YTf
skunk	skunk	n02445715	skunk%1:05:00::	skunk#4	skunk.n.04	skunk, polecat, wood_pussy	American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae	0	1	8325.5	4.88	806	738	0.9	15107	42	166	Noun	animal	animal	animal	animal	1	https://imgur.com/6FHgd5v
sled	sled	n04235291	sled%1:06:00::	sled#1	sled.n.01	sled, sledge, sleigh	a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow	0	1	5664	5	895	1243	0.89	11587	27	149	Adjective	sports equipment	vehicle	vehicle, sports equipment	sports equipment, recreational vehicle	1	https://imgur.com/rShNQnN
sledgehammer	sledgehammer	n03731695	sledgehammer%1:06:00::	sledgehammer#1	sledgehammer.n.01	maul, sledge, sledgehammer	a heavy long-handled hammer used to drive stakes or wedges	0	0.97	10268.5	4.89	433	388	0.9	20352		45	Noun	tool	tool	tool	tool	1	https://imgur.com/3FRdiI4
sleeping bag	sleeping_bag	n04235860	sleeping_bag%1:06:00::	sleeping_bag#1	sleeping_bag.n.01	sleeping_bag	large padded bag designed to be slept in outdoors; usually rolls up like a bedroll	1	1	7526	4.79	1370					0	#N/A		container		camping equipment	1	https://imgur.com/f21W7RO
slicer	slicer	n04237423	slicer%1:06:02::	slicer#2	slicer.n.02	slicer	a machine for cutting; usually with a revolving blade	0	1	14662	4.72	179	165	0.84	29323		6	Noun	kitchen appliance		electronic device, kitchen appliance	kitchen appliance	1	https://imgur.com/B3HyKbG
slide	slide	n04238128	slide%1:06:03::	slide#4	slide.n.04	slide, playground_slide, sliding_board	plaything consisting of a sloping chute down which children can slide	0	1	6985.5	4.48	6121	7780	0.93	3705	1639	909	Verb		toy		playground equipment	1	https://imgur.com/szzJnRQ
slime	slime	n14956661	slime%1:27:00::	slime#1	slime.n.01	sludge, slime, goo, goop, gook, guck, gunk, muck, ooze	any thick, viscous matter	0	1	12663	4.48	839	631	0.89	16389	152	141	Noun	toy			toy	1	https://imgur.com/leTf2C2
sling	sling	n04239436	sling%1:06:00::	sling#5	sling.n.05	sling, scarf_bandage, triangular_bandage	bandage to support an injured forearm; consisting of a wide triangular piece of cloth hanging from around the neck	0	1	11193.5	4.52	955	913	0.91	13468	230	117	Noun	medical equipment		medical equipment	medical equipment	1	https://imgur.com/pjS8rHd
slingshot	slingshot	n04240097	slingshot%1:06:00::	slingshot#1	slingshot.n.01	slingshot, sling, catapult	a plaything consisting of a Y-shaped stick with elastic between the arms; used to propel small stones	0	1	11206.5	4.87	351	308	0.88	22612	11	71	Noun	weapon	toy	weapon, toy	weapon	1	https://imgur.com/9kBIDZn
slipper	slipper	n04241394	slipper%1:06:00::	slipper#1	slipper.n.01	slipper, carpet_slipper	low footwear that can be slipped on and off easily; usually worn indoors	0	1	5838.5	4.86	603	2000	0.87	8951	125	113	Noun			clothing	footwear	1	https://imgur.com/YMEEGy7
slot	slot	n04243370	slot%1:06:00::	slot#2	slot.n.02	slot	a small slit (as for inserting a coin or depositing mail)	0	1	7884.5	4.45	4546	5130	0.94	4889	750	280	Noun				hole	1	https://imgur.com/T08Jkwk
slot machine	slot_machine	n04243941	slot_machine%1:06:00::	slot_machine#1	slot_machine.n.01	slot_machine, coin_machine	a machine that is operated by the insertion of a coin in a slot	1	1	13009.5	4.83	202					0	#N/A			electronic device	gambling device	1	https://imgur.com/Gk9F1Un
sloth	sloth	n02456962	sloth%1:05:00::	sloth#2	sloth.n.02	sloth, tree_sloth	any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits	0	1	10540	4.83	485	437	0.82	20105	79	74	Noun	animal	animal	animal	animal	1	https://imgur.com/yihiw6Q
